state,district,commodity,variety,arrival_date,min_price,max_price,modal_price
andamanandnicobar,nicobar,amaranthus,other,24-07-19,4000,8000,6000
andamanandnicobar,nicobar,bittergourd,other,24-07-19,12000,18000,15000
andamanandnicobar,nicobar,bottlegourd,other,24-07-19,4000,8000,6000
andamanandnicobar,nicobar,brinjal,other,24-07-19,10000,14000,12000
andamanandnicobar,nicobar,cabbage,other,24-07-19,8000,12000,10000
andamanandnicobar,nicobar,carrot,other,24-07-19,10000,15000,12000
andamanandnicobar,nicobar,cauliflower,other,24-07-19,12000,18000,15000
andamanandnicobar,nicobar,cowpea,other,24-07-19,6000,9000,8000
andamanandnicobar,nicobar,cucumbar,other,24-07-19,6000,10000,8000
andamanandnicobar,nicobar,drumstick,other,24-07-19,12000,18000,15000
andamanandnicobar,nicobar,ginger,other,24-07-19,23000,28000,25000
andamanandnicobar,nicobar,littlegourd,other,24-07-19,10000,15000,12000
andamanandnicobar,nicobar,raddish,other,24-07-19,4000,8000,6000
andamanandnicobar,nicobar,snakeguard,other,24-07-19,6000,10000,8000
andamanandnicobar,nicobar,tomato,other,24-07-19,8000,12000,10000
andhrapradesh,chittor,tomato,local,24-07-19,1000,3000,2000
andhrapradesh,chittor,tomato,local,24-07-19,1300,2800,2200
andhrapradesh,chittor,ladiesfinger,bhindi,24-07-19,1000,2000,1500
andhrapradesh,chittor,bittergourd,bittergourd,24-07-19,1500,2500,2000
andhrapradesh,chittor,bottlegourd,bottlegourd,24-07-19,250,750,500
andhrapradesh,chittor,brinjal,brinjal,24-07-19,1500,2500,2000
andhrapradesh,chittor,cabbage,cabbage,24-07-19,750,1250,1000
andhrapradesh,chittor,carrot,carrot,24-07-19,500,1000,750
andhrapradesh,chittor,cauliflower,cauliflower,24-07-19,500,1500,1000
andhrapradesh,chittor,clusterbeans,clusterbeans,24-07-19,1000,2000,1500
andhrapradesh,chittor,cucumbar,cucumbar,24-07-19,250,750,500
andhrapradesh,chittor,greenchilli,greenchilly,24-07-19,1000,2000,1500
andhrapradesh,chittor,raddish,raddish,24-07-19,500,1500,1000
andhrapradesh,chittor,ridgeguard,ridgeguard,24-07-19,750,1750,1250
andhrapradesh,chittor,tomato,hybrid,24-07-19,400,2000,1200
andhrapradesh,chittor,tomato,local,24-07-19,800,3600,2200
andhrapradesh,guntur,turmeric,bulb,24-07-19,5050,6081,5721
andhrapradesh,guntur,turmeric,finger,24-07-19,5050,6081,5721
andhrapradesh,guntur,drychillies,guntur,24-07-19,4000,12800,11000
andhrapradesh,guntur,drychillies,red,24-07-19,3000,13200,11000
andhrapradesh,guntur,drychillies,rednew,24-07-19,4000,14000,12000
andhrapradesh,guntur,drychillies,redtop,24-07-19,3600,13400,10000
andhrapradesh,guntur,drychillies,white,24-07-19,2600,9600,4500
andhrapradesh,kurnool,groundnut,ballihabbu,24-07-19,4266,6437,5367
andhrapradesh,kurnool,maize,hybridlocal,24-07-19,1700,1700,1700
andhrapradesh,kurnool,paddy,sonamahsuri,24-07-19,1750,1750,1750
andhrapradesh,kurnool,bengalgram,desi,24-07-19,4700,4900,4800
andhrapradesh,kurnool,jowar,jowar,24-07-19,2400,2600,2500
andhrapradesh,kurnool,paddy,sonamahsuri,24-07-19,1900,2100,2000
andhrapradesh,kurnool,arhar,local,24-07-19,5189,5675,5189
andhrapradesh,kurnool,bengalgram,desi,24-07-19,4150,4620,4150
andhrapradesh,kurnool,castorseed,other,24-07-19,4491,4859,4491
andhrapradesh,kurnool,groundnut,local,24-07-19,4938,6889,5609
andhrapradesh,kurnool,onion,local,24-07-19,800,1350,1350
andhrapradesh,kurnool,bengalgram,gulabi,24-07-19,4620,4620,4620
andhrapradesh,kurnool,maize,hybrid,24-07-19,1700,1700,1700
andhrapradesh,kurnool,paddy,sona,24-07-19,1750,1750,1750
andhrapradesh,kurnool,bengalgram,desi,24-07-19,4650,4750,4700
andhrapradesh,kurnool,paddy,sonamahsuri,24-07-19,1750,1850,1800
andhrapradesh,kurnool,onion,local,24-07-19,2000,2500,2300
andhrapradesh,kurnool,tomato,local,24-07-19,3500,4000,3800
andhrapradesh,visakhapatnam,gur,no2,24-07-19,3150,3480,3315
andhrapradesh,visakhapatnam,gur,no3,24-07-19,2880,2970,2925
andhrapradesh,westgodavari,paddy,1001,24-07-19,1650,1750,1700
andhrapradesh,westgodavari,paddy,1001,24-07-19,1700,1770,1750
andhrapradesh,westgodavari,lemon,lemon,24-07-19,2000,3000,2600
andhrapradesh,westgodavari,paddy,mtu1010,24-07-19,1800,1830,1815
assam,cachar,rice,common,24-07-19,2200,2500,2400
assam,cachar,rice,fine,24-07-19,2500,3000,2800
assam,dhubri,greengram,green,24-07-19,6400,6680,6500
assam,dhubri,maidaatta,maidaatta,24-07-19,2400,2740,2560
assam,dhubri,rice,fine,24-07-19,3500,5000,4500
assam,dhubri,rice,medium,24-07-19,1800,3100,2500
assam,dhubri,wheatatta,wheatatta,24-07-19,2300,2500,2400
assam,hailakandi,rice,common,24-07-19,2200,2500,2400
assam,hailakandi,rice,fine,24-07-19,2500,3000,2800
assam,jorhat,garlic,garlic,24-07-19,7500,9000,8500
assam,jorhat,onion,onion,24-07-19,1950,2100,2000
assam,jorhat,potato,potato,24-07-19,1050,1100,1080
assam,jorhat,rice,common,24-07-19,2500,7000,3400
assam,jorhat,wheatatta,wheatatta,24-07-19,2600,3200,2800
assam,kamrup,bittergourd,bittergourd,24-07-19,3000,3800,3500
assam,kamrup,brinjal,brinjal,24-07-19,3600,4400,4000
assam,kamrup,cabbage,cabbage,24-07-19,1800,2000,1900
assam,kamrup,cucumbar,cucumbar,24-07-19,2000,2500,2300
assam,kamrup,garlic,garlic,24-07-19,7000,9000,8500
assam,kamrup,greenchilli,greenchilly,24-07-19,9000,10000,9500
assam,kamrup,onion,onion,24-07-19,2200,2500,2400
assam,kamrup,pointedgourd,pointedgourd,24-07-19,2500,3200,3000
assam,kamrup,potato,potato,24-07-19,1400,1700,1500
assam,kamrup,pumpkin,pumpkin,24-07-19,1200,1600,1400
assam,kamrup,ridgeguard,ridgeguard,24-07-19,2000,2500,2300
assam,kamrup,tomato,tomato,24-07-19,3500,4500,4000
assam,karimganj,arecanut,raw,24-07-19,4500,5500,5000
assam,karimganj,lentil,masoorgola,24-07-19,5500,6000,5800
assam,karimganj,maidaatta,maidaatta,24-07-19,2600,2800,2700
assam,karimganj,rice,medium,24-07-19,2400,2500,2450
assam,karimganj,wheatatta,wheatatta,24-07-19,2600,2800,2700
assam,kokrajhar,jute,td5,24-07-19,2800,3500,3000
assam,kokrajhar,rice,common,24-07-19,2400,3200,2800
assam,lakhimpur,arhar,arhar,24-07-19,7100,7600,7400
assam,lakhimpur,greengram,green,24-07-19,7600,8900,8400
assam,lakhimpur,greenpeas,greenpeas,24-07-19,6000,6600,6300
assam,lakhimpur,lentil,masurdal,24-07-19,6500,6900,6700
assam,lakhimpur,peas,peas,24-07-19,5700,6000,5900
assam,lakhimpur,rice,common,24-07-19,2500,2800,2600
assam,lakhimpur,rice,fine,24-07-19,3000,3800,3570
assam,lakhimpur,rice,superfine,24-07-19,5000,6000,5500
assam,nalbari,arhardal,arhardal,24-07-19,7000,8500,7600
assam,nalbari,bengalgram,bengalgramdal,24-07-19,5500,6500,6050
assam,nalbari,greengram,greengram,24-07-19,7200,8500,7950
assam,nalbari,gur,red,24-07-19,3600,4000,3800
assam,nalbari,lentil,masurdal,24-07-19,5200,5600,5350
